Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Grækenland og Rom,Hvilken græsk gud forbindes med vin og teater?,100,Dionysos,Ares,Hermes,Pan,,,,Wikipedia – Dionysus,https://en.wikipedia.org/wiki/Dionysus,OK,2026-07-09,"Åben artikel om den græske gud/helt og de centrale funktioner eller myter, som spørgsmålet spørger til."
Grækenland og Rom,Hvilken græsk gud er smed og håndværkernes beskytter?,200,Hefaistos,Apollo,Hades,Kronos,,,,Wikipedia – Hephaestus,https://en.wikipedia.org/wiki/Hephaestus,OK,2026-07-09,"Åben artikel om den græske gud/helt og de centrale funktioner eller myter, som spørgsmålet spørger til."
Grækenland og Rom,Hvilken græsk gudinde vogter arnen og hjemmets ild?,300,Hestia,Hera,Iris,Nemesis,,,,Wikipedia – Hestia,https://en.wikipedia.org/wiki/Hestia,OK,2026-07-09,"Åben artikel om den græske gud/helt og de centrale funktioner eller myter, som spørgsmålet spørger til."
Grækenland og Rom,Hvilken græsk gudinde er Zeus’ hustru og forbindes med ægteskab?,400,Hera,Athene,Demeter,Leto,,,,Wikipedia – Hera,https://en.wikipedia.org/wiki/Hera,OK,2026-07-09,"Åben artikel om den græske gud/helt og de centrale funktioner eller myter, som spørgsmålet spørger til."
Grækenland og Rom,Hvilken græsk gud forbindes især med krigens voldsomme side?,500,Ares,Hermes,Apollo,Asklepios,,,,Wikipedia – Ares,https://en.wikipedia.org/wiki/Ares,OK,2026-07-09,"Åben artikel om den græske gud/helt og de centrale funktioner eller myter, som spørgsmålet spørger til."
Egyptens gudeverden,Hvilken løvehovedet gudinde forbindes med krig og ødelæggende solkraft?,100,Sekhmet,Bastet,Isis,Nephthys,,,,Wikipedia – Sekhmet,https://en.wikipedia.org/wiki/Sekhmet,OK,2026-07-09,"Åben artikel/museumsoversigt der underbygger den egyptiske guddom, dødsrigsforestilling eller mytiske figur i spørgsmålet."
Egyptens gudeverden,Hvilken gudinde forbindes stærkt med katte og hjemmets beskyttelse?,200,Bastet,Nut,Maat,Tefnut,,,,Wikipedia – Bastet,https://en.wikipedia.org/wiki/Bastet,OK,2026-07-09,"Åben artikel/museumsoversigt der underbygger den egyptiske guddom, dødsrigsforestilling eller mytiske figur i spørgsmålet."
Egyptens gudeverden,Hvilken skabergud og håndværkergud havde et vigtigt kultcentrum i Memphis?,300,Ptah,Khonsu,Sobek,Min,,,,Wikipedia – Ptah,https://en.wikipedia.org/wiki/Ptah,OK,2026-07-09,"Åben artikel/museumsoversigt der underbygger den egyptiske guddom, dødsrigsforestilling eller mytiske figur i spørgsmålet."
Egyptens gudeverden,Hvilken vædderhovedet gud fremstiller i nogle myter mennesker på et pottemagerhjul?,400,Khnum,Amun,Geb,Shu,,,,British Museum – Ancient Egyptian gods and goddesses,https://www.britishmuseum.org/learn/schools/ages-7-11/ancient-egypt/ancient-egyptian-gods-and-goddesses,OK,2026-07-09,"British Museum beskriver Khnum som vædderhovedet skabergud, der former mennesker på et pottemagerhjul."
Egyptens gudeverden,Hvilken krokodillegud forbindes med Nilen og frugtbarhed?,500,Sobek,Anubis,Horus,Bes,,,,Wikipedia – Sobek,https://en.wikipedia.org/wiki/Sobek,OK,2026-07-09,"Åben artikel/museumsoversigt der underbygger den egyptiske guddom, dødsrigsforestilling eller mytiske figur i spørgsmålet."
Mesopotamien og Nærorienten,Hvilken månegud kaldes Nanna på sumerisk og Sin på akkadisk?,100,Nanna-Sin,Utu-Shamash,Nergal,Marduk,,,,Wikipedia – Sin (mythology),https://en.wikipedia.org/wiki/Sin_(mythology),OK,2026-07-09,Åben artikel om Nanna/Sin som mesopotamisk månegud.
Mesopotamien og Nærorienten,Hvem hersker over underverdenen i fortællingen om Inannas nedstigning?,200,Ereshkigal,Ninhursag,Tiamat,Asherah,,,,Wikipedia – Ereshkigal,https://en.wikipedia.org/wiki/Ereshkigal,OK,2026-07-09,"Åben artikel der underbygger den mesopotamiske/nærorientalske guddom, tekst eller mytiske figur i spørgsmålet."
Mesopotamien og Nærorienten,"Hvilken gud forbindes med krig, pest og senere underverdenen?",300,Nergal,Nabu,Dumuzi,Enkimdu,,,,Wikipedia – Nergal,https://en.wikipedia.org/wiki/Nergal,OK,2026-07-09,"Åben artikel der underbygger den mesopotamiske/nærorientalske guddom, tekst eller mytiske figur i spørgsmålet."
Mesopotamien og Nærorienten,Hvilken gud var nationalgud i det assyriske rige?,400,Ashur,Marduk,Baal,El,,,,Wikipedia – Ashur (god),https://en.wikipedia.org/wiki/Ashur_(god),OK,2026-07-09,"Åben artikel der underbygger den mesopotamiske/nærorientalske guddom, tekst eller mytiske figur i spørgsmålet."
Mesopotamien og Nærorienten,"Hvem er den kaotiske saltvandsskikkelse, som Marduk besejrer i Enuma Elish?",500,Tiamat,Apsu,Ereshkigal,Nammu,,,,Wikipedia – Tiamat,https://en.wikipedia.org/wiki/Tiamat,OK,2026-07-09,"Åben artikel der underbygger den mesopotamiske/nærorientalske guddom, tekst eller mytiske figur i spørgsmålet."
Myter fra andre kulturer,"Hvilken hinduistisk gud forbindes med dans, askese og ødelæggelse som led i fornyelse?",100,Shiva,Brahma,Varuna,Hanuman,,,,Wikipedia – Shiva,https://en.wikipedia.org/wiki/Shiva,OK,2026-07-09,"Åben artikel der underbygger guddommen, heltefiguren eller den mytiske tradition i spørgsmålet."
Myter fra andre kulturer,Hvilken hinduistisk gudinde forbindes med lykke og velstand?,200,Lakshmi,Kali,Sarasvati,Durga,,,,Wikipedia – Lakshmi,https://en.wikipedia.org/wiki/Lakshmi,OK,2026-07-09,"Åben artikel der underbygger guddommen, heltefiguren eller den mytiske tradition i spørgsmålet."
Myter fra andre kulturer,"Hvilken hinduistisk gudinde forbindes med lærdom, musik og tale?",300,Sarasvati,Parvati,Lakshmi,Ganga,,,,Wikipedia – Saraswati,https://en.wikipedia.org/wiki/Saraswati,OK,2026-07-09,"Åben artikel der underbygger guddommen, heltefiguren eller den mytiske tradition i spørgsmålet."
Myter fra andre kulturer,Hvilken japansk gud forbindes med storme og er Amaterasus bror?,400,Susanoo,Tsukuyomi,Inari,Hachiman,,,,Wikipedia – Susanoo-no-Mikoto,https://en.wikipedia.org/wiki/Susanoo-no-Mikoto,OK,2026-07-09,"Åben artikel der underbygger guddommen, heltefiguren eller den mytiske tradition i spørgsmålet."
Myter fra andre kulturer,Hvilken japansk gud forbindes med månen?,500,Tsukuyomi,Raijin,Fujin,Ebisu,,,,Wikipedia – Tsukuyomi-no-Mikoto,https://en.wikipedia.org/wiki/Tsukuyomi-no-Mikoto,OK,2026-07-09,"Åben artikel der underbygger guddommen, heltefiguren eller den mytiske tradition i spørgsmålet."
